ELEMENTOS, PIVOTE_INICIO, PIVOTE_FINAL, PIVOTE MEDIO, PIVOTE RANDOM, PIVOTE MEDIA DE 3
1,0.000213,5.4e-05,0.000149,4.8e-05,5.4e-05
10001,1.38437,1.26721,1.28503,1.31748,1.2699
20001,2.68845,2.7338,2.75672,2.92532,2.65422
30001,4.16089,4.02572,4.14166,4.45179,3.91568
40001,5.6095,5.25969,5.49777,5.48786,5.34463
50001,6.88371,6.66209,7.10917,7.3555,7.01067
60001,8.77217,8.89384,9.38672,9.40947,8.84357
70001,10.216,10.1871,10.1107,10.672,9.99159
80001,11.4647,11.3486,11.4393,12.2085,11.4006
90001,12.962,13.2141,13.4672,13.7472,12.8473
100001,14.8097,15.7062,15.9392,15.3951,15.297
110001,16.5854,16.0123,17.4861,17.3542,16.1259
120001,17.3913,17.8166,18.568,19.2085,17.9351
130001,19.5723,19.2805,19.5981,19.7358,19.0463
140001,21.7651,20.7654,21.9238,21.3301,20.4754
150001,22.2101,22.8557,23.5416,23.3722,22.6074
160001,24.8257,24.9332,25.0833,25.2415,23.7529
170001,26.8174,26.6219,27.1457,28.1067,26.6688
180001,28.2744,28.5591,27.833,29.6481,26.9488
190001,30.213,29.6874,29.9503,30.7225,29.8931
200001,32.3469,31.7426,32.3819,31.8968,31.3241
210001,33.8818,32.9691,33.9626,34.2007,33.235
220001,35.1376,34.4256,35.2491,35.6114,34.8128
230001,36.7197,37.026,38.2385,36.9731,35.2176
240001,38.7496,37.5069,37.7225,40.0476,37.1874
250001,39.1167,40.146,40.8865,41.0257,39.2885
260001,41.7718,40.9835,41.8908,42.2994,41.0723
270001,45.5767,43.0794,44.2228,44.0896,43.3412
280001,44.8303,44.4106,50.661,47.0753,44.9798
290001,46.344,45.4341,48.0764,48.6845,46.6958
300001,47.8491,48.8824,50.2411,51.0891,47.9001
310001,51.6042,50.2275,49.9975,52.6116,49.3514
320001,52.7069,51.1014,54.4481,53.3436,52.1535
330001,53.3163,52.8293,54.2341,55.4454,53.162
340001,57.4886,54.3001,56.0749,56.742,54.2715
350001,58.694,56.52,57.3257,57.366,56.2014
360001,62.557,57.5481,62.6025,59.8939,60.4975
370001,61.2355,61.7559,61.9427,63.2842,60.4798
380001,63.5918,63.3168,65.0623,64.7231,61.727
390001,64.1479,61.531,65.8582,66.0372,62.4139
400001,68.0751,65.4962,69.6599,67.5509,65.6082
410001,68.6719,66.7323,69.3954,71.0869,65.9573
420001,71.5944,71.8743,70.5983,71.0276,67.8251
430001,74.4698,70.8627,71.5421,73.343,69.6278
440001,73.3585,74.5949,74.2397,80.1301,72.893
450001,76.5122,73.3922,77.7312,75.6838,73.9293
460001,78.5499,76.4393,80.1578,81.8039,76.8555
470001,81.2256,80.6585,80.1375,82.5059,76.6359
480001,82.9269,80.8712,81.4284,87.7638,79.7829
490001,85.9883,83.5328,84.79,85.0298,80.5898
500001,85.1921,83.2358,87.9266,87.2649,82.9024
